Qaz321!@,Account,Status
11/11/2022 11:18:20,Pinky_MALAYSIA54,Group Joiner - 'Pinky_MALAYSIA54' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:18:46,Pinky_MALAYSIA26,Comment&Like - Pinky_MALAYSIA26 - Finished operation
11/11/2022 11:18:48,Pinky_MALAYSIA9,Group Joiner - 'Pinky_MALAYSIA9' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:19:08,Pinky_MALAYSIA54,Group Joiner - Pinky_MALAYSIA54 - Finished operation
11/11/2022 11:19:09,Pinky_MALAYSIA11,Comment&Like - 'Pinky_MALAYSIA11' - Liking by using https://www.facebook.com/groups/1319216465597534
11/11/2022 11:19:24,Pinky_MALAYSIA65,Group Joiner - Pinky_MALAYSIA65 - Finished operation
11/11/2022 11:19:24,Pinky_MALAYSIA38,Comment&Like - 'Pinky_MALAYSIA38' - Liking by using https://www.facebook.com/groups/1319216465597534
11/11/2022 11:19:53,Pinky_MALAYSIA9,Group Joiner - Pinky_MALAYSIA9 - Finished operation
11/11/2022 11:19:55,Pinky_MALAYSIA47,Group Joiner - 'Pinky_MALAYSIA47' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:20:27,Pinky_MALAYSIA11,Comment&Like - Pinky_MALAYSIA11 - Finished operation
11/11/2022 11:20:28,Pinky_MALAYSIA3,Comment&Like - 'Pinky_MALAYSIA3' - Liking by using https://www.facebook.com/groups/492319909620920
11/11/2022 11:20:42,Pinky_MALAYSIA19,Group Joiner - Error executing for the 'Pinky_MALAYSIA19' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/460183919270756
11/11/2022 11:20:43,Pinky_MALAYSIA43,Group Joiner - 'Pinky_MALAYSIA43' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:20:44,Pinky_MALAYSIA38,Comment&Like - Pinky_MALAYSIA38 - Finished operation
11/11/2022 11:20:46,Pinky_MALAYSIA60,Group Joiner - 'Pinky_MALAYSIA60' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:21:02,Pinky_MALAYSIA47,Group Joiner - Pinky_MALAYSIA47 - Finished operation
11/11/2022 11:21:04,Pinky_MALAYSIA22,Group Joiner - 'Pinky_MALAYSIA22' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:21:42,Pinky_MALAYSIA3,Comment&Like - Pinky_MALAYSIA3 - Finished operation
11/11/2022 11:21:50,Pinky_MALAYSIA43,Group Joiner - Pinky_MALAYSIA43 - Finished operation
11/11/2022 11:21:53,Pinky_MALAYSIA25,Comment&Like - 'Pinky_MALAYSIA25' - Liking by using https://www.facebook.com/groups/1316600345817111/
11/11/2022 11:21:54,Pinky_MALAYSIA60,Group Joiner - Pinky_MALAYSIA60 - Finished operation
11/11/2022 11:21:56,Pinky_MALAYSIA53,Comment&Like - 'Pinky_MALAYSIA53' - Liking by using https://www.facebook.com/groups/513992560177139/
11/11/2022 11:22:11,Pinky_MALAYSIA22,Group Joiner - Pinky_MALAYSIA22 - Finished operation
11/11/2022 11:22:11,Pinky_MALAYSIA52,Comment&Like - 'Pinky_MALAYSIA52' - Liking by using https://www.facebook.com/groups/833087687822674/
11/11/2022 11:22:27,Pinky_MALAYSIA69,Comment&Like - Error executing for the 'Pinky_MALAYSIA69' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/3344076859208187/
11/11/2022 11:22:29,Pinky_MALAYSIA30,Comment&Like - 'Pinky_MALAYSIA30' - Liking by using https://www.facebook.com/groups/5480564762061522/
11/11/2022 11:22:59,Pinky_MALAYSIA36,Comment&Like - Error executing for the 'Pinky_MALAYSIA36' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/471878828235426
11/11/2022 11:23:02,Pinky_MALAYSIA25,Comment&Like - Pinky_MALAYSIA25 - Finished operation
11/11/2022 11:23:02,Pinky_MALAYSIA39,Comment&Like - 'Pinky_MALAYSIA39' - Liking by using https://www.facebook.com/groups/1431949353999966
11/11/2022 11:23:14,Pinky_MALAYSIA53,Comment&Like - Pinky_MALAYSIA53 - Finished operation
11/11/2022 11:23:15,Pinky_MALAYSIA11,Group Joiner - 'Pinky_MALAYSIA11' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:23:42,Pinky_MALAYSIA30,Comment&Like - Error executing for the 'Pinky_MALAYSIA30' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/5480564762061522/
11/11/2022 11:23:43,Pinky_MALAYSIA52,Comment&Like - Pinky_MALAYSIA52 - Finished operation
11/11/2022 11:23:45,Pinky_MALAYSIA42,Group Joiner - 'Pinky_MALAYSIA42' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:23:45,Pinky_MALAYSIA37,Group Joiner - 'Pinky_MALAYSIA37' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:24:16,Pinky_MALAYSIA36,Comment&Like - Error executing for the 'Pinky_MALAYSIA36' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/1145357409405618
11/11/2022 11:24:18,Pinky_MALAYSIA48,Group Joiner - 'Pinky_MALAYSIA48' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:24:22,Pinky_MALAYSIA11,Group Joiner - Pinky_MALAYSIA11 - Finished operation
11/11/2022 11:24:24,Pinky_MALAYSIA16,Group Joiner - 'Pinky_MALAYSIA16' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:24:27,Pinky_MALAYSIA39,Comment&Like - Pinky_MALAYSIA39 - Finished operation
11/11/2022 11:24:27,Pinky_MALAYSIA59,Group Joiner - 'Pinky_MALAYSIA59' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:24:54,Pinky_MALAYSIA42,Group Joiner - Pinky_MALAYSIA42 - Finished operation
11/11/2022 11:24:55,Pinky_MALAYSIA58,Group Joiner - 'Pinky_MALAYSIA58' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:24:55,Pinky_MALAYSIA37,Group Joiner - Pinky_MALAYSIA37 - Finished operation
11/11/2022 11:24:58,Pinky_MALAYSIA62,Group Joiner - 'Pinky_MALAYSIA62' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:25:08,Pinky_MALAYSIA16,Group Joiner - Pinky_MALAYSIA16 - Finished operation
11/11/2022 11:25:10,Pinky_MALAYSIA8,Comment&Like - 'Pinky_MALAYSIA8' - Liking by using https://www.facebook.com/groups/416063824057495
11/11/2022 11:25:27,Pinky_MALAYSIA48,Group Joiner - Pinky_MALAYSIA48 - Finished operation
11/11/2022 11:25:28,Pinky_MALAYSIA6,Group Joiner - 'Pinky_MALAYSIA6' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 11:25:33,Pinky_MALAYSIA59,Group Joiner - Pinky_MALAYSIA59 - Finished operation
11/11/2022 11:25:34,Pinky_MALAYSIA24,Comment&Like - 'Pinky_MALAYSIA24' - Liking by using https://www.facebook.com/groups/460183919270756/
11/11/2022 11:26:05,Pinky_MALAYSIA58,Group Joiner - Pinky_MALAYSIA58 - Finished operation
11/11/2022 11:26:06,Pinky_MALAYSIA62,Group Joiner - Pinky_MALAYSIA62 - Finished operation
11/11/2022 11:26:08,Pinky_MALAYSIA12,Group Joiner - 'Pinky_MALAYSIA12' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:26:08,Pinky_MALAYSIA40,Group Joiner - 'Pinky_MALAYSIA40' - Executing using 'https://www.facebook.com/groups/619487189661079'
11/11/2022 11:26:20,Pinky_MALAYSIA8,Comment&Like - Error executing for the 'Pinky_MALAYSIA8' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/416063824057495
11/11/2022 11:26:20,Pinky_MALAYSIA28,Comment&Like - 'Pinky_MALAYSIA28' - Liking by using https://www.facebook.com/groups/5480564762061522/
11/11/2022 11:26:45,Pinky_MALAYSIA40,Group Joiner - Error executing for the 'Pinky_MALAYSIA40' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/groups/619487189661079
11/11/2022 11:27:02,Pinky_MALAYSIA24,Comment&Like - Pinky_MALAYSIA24 - Finished operation
11/11/2022 11:27:02,Pinky_MALAYSIA34,Comment&Like - 'Pinky_MALAYSIA34' - Liking by using https://www.facebook.com/groups/1316600345817111/
11/11/2022 11:27:17,Pinky_MALAYSIA12,Group Joiner - Pinky_MALAYSIA12 - Finished operation
11/11/2022 11:27:47,Pinky_MALAYSIA28,Comment&Like - Pinky_MALAYSIA28 - Finished operation
11/11/2022 11:27:48,Pinky_MALAYSIA27,Comment&Like - 'Pinky_MALAYSIA27' - Liking by using https://www.facebook.com/groups/3298767307028463
11/11/2022 11:28:03,Pinky_MALAYSIA45,Comment&Like - Error executing for the 'Pinky_MALAYSIA45' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/431887672302308
11/11/2022 11:28:03,Pinky_MALAYSIA4,Group Joiner - 'Pinky_MALAYSIA4' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 11:28:13,Pinky_MALAYSIA34,Comment&Like - Pinky_MALAYSIA34 - Finished operation
11/11/2022 11:28:15,Pinky_MALAYSIA29,Comment&Like - 'Pinky_MALAYSIA29' - Liking by using https://www.facebook.com/groups/5480564762061522/
11/11/2022 11:28:30,Pinky_MALAYSIA30,Comment&Like - Error executing for the 'Pinky_MALAYSIA30' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/460183919270756/
11/11/2022 11:28:33,Pinky_MALAYSIA19,Comment&Like - 'Pinky_MALAYSIA19' - Liking by using https://www.facebook.com/groups/5646866088722297/
11/11/2022 11:28:39,Pinky_MALAYSIA4,Group Joiner - Error executing for the 'Pinky_MALAYSIA4' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/groups/460183919270756
11/11/2022 11:29:20,Pinky_MALAYSIA27,Comment&Like - Pinky_MALAYSIA27 - Finished operation
11/11/2022 11:29:21,Pinky_MALAYSIA35,Comment&Like - 'Pinky_MALAYSIA35' - Liking by using https://www.facebook.com/groups/3070737906558681
11/11/2022 11:29:44,Pinky_MALAYSIA29,Comment&Like - Pinky_MALAYSIA29 - Finished operation
11/11/2022 11:29:46,Pinky_MALAYSIA27,Group Joiner - 'Pinky_MALAYSIA27' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:29:53,Pinky_MALAYSIA36,Comment&Like - Error executing for the 'Pinky_MALAYSIA36' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/429397949131253/
11/11/2022 11:29:55,Pinky_MALAYSIA64,Comment&Like - 'Pinky_MALAYSIA64' - Liking by using https://www.facebook.com/groups/416063824057495
11/11/2022 11:30:24,Pinky_MALAYSIA6,Group Joiner - Error executing for the 'Pinky_MALAYSIA6' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/460183919270756
11/11/2022 11:30:25,Pinky_MALAYSIA56,Group Joiner - 'Pinky_MALAYSIA56' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:30:45,Pinky_MALAYSIA35,Comment&Like - Pinky_MALAYSIA35 - Finished operation
11/11/2022 11:30:46,Pinky_MALAYSIA49,Group Joiner - 'Pinky_MALAYSIA49' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:30:51,Pinky_MALAYSIA27,Group Joiner - Pinky_MALAYSIA27 - Finished operation
11/11/2022 11:30:52,Pinky_MALAYSIA28,Group Joiner - 'Pinky_MALAYSIA28' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:31:21,Pinky_MALAYSIA64,Comment&Like - Pinky_MALAYSIA64 - Finished operation
11/11/2022 11:31:23,Pinky_MALAYSIA68,Group Joiner - 'Pinky_MALAYSIA68' - Executing using 'https://www.facebook.com/groups/5646866088722297'
11/11/2022 11:31:34,Pinky_MALAYSIA56,Group Joiner - Pinky_MALAYSIA56 - Finished operation
11/11/2022 11:31:35,Pinky_MALAYSIA58,Comment&Like - 'Pinky_MALAYSIA58' - Liking by using https://www.facebook.com/groups/471878828235426
11/11/2022 11:31:56,Pinky_MALAYSIA49,Group Joiner - Pinky_MALAYSIA49 - Finished operation
11/11/2022 11:31:56,Pinky_MALAYSIA15,Comment&Like - 'Pinky_MALAYSIA15' - Liking by using https://www.facebook.com/groups/5480564762061522/
11/11/2022 11:31:59,Pinky_MALAYSIA28,Group Joiner - Pinky_MALAYSIA28 - Finished operation
11/11/2022 11:32:02,Pinky_MALAYSIA38,Group Joiner - 'Pinky_MALAYSIA38' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:32:30,Pinky_MALAYSIA68,Group Joiner - Pinky_MALAYSIA68 - Finished operation
11/11/2022 11:32:33,Pinky_MALAYSIA16,Comment&Like - 'Pinky_MALAYSIA16' - Liking by using https://www.facebook.com/groups/624827702618032/
11/11/2022 11:32:52,Pinky_MALAYSIA58,Comment&Like - Pinky_MALAYSIA58 - Finished operation
11/11/2022 11:32:54,Pinky_MALAYSIA65,Comment&Like - 'Pinky_MALAYSIA65' - Liking by using https://www.facebook.com/groups/429397949131253/
11/11/2022 11:33:08,Pinky_MALAYSIA19,Comment&Like - Error executing for the 'Pinky_MALAYSIA19' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/5646866088722297/
11/11/2022 11:33:09,Pinky_MALAYSIA19,Group Joiner - 'Pinky_MALAYSIA19' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 11:33:09,Pinky_MALAYSIA38,Group Joiner - Pinky_MALAYSIA38 - Finished operation
11/11/2022 11:33:12,Pinky_MALAYSIA23,Group Joiner - 'Pinky_MALAYSIA23' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:33:20,Pinky_MALAYSIA15,Comment&Like - Pinky_MALAYSIA15 - Finished operation
11/11/2022 11:33:21,Pinky_MALAYSIA6,Comment&Like - 'Pinky_MALAYSIA6' - Liking by using https://www.facebook.com/groups/3070737906558681
11/11/2022 11:33:43,Pinky_MALAYSIA16,Comment&Like - Error executing for the 'Pinky_MALAYSIA16' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/624827702618032/
11/11/2022 11:33:45,Pinky_MALAYSIA22,Comment&Like - 'Pinky_MALAYSIA22' - Liking by using https://www.facebook.com/groups/416063824057495
11/11/2022 11:34:12,Pinky_MALAYSIA65,Comment&Like - Pinky_MALAYSIA65 - Finished operation
11/11/2022 11:34:13,Pinky_MALAYSIA49,Comment&Like - 'Pinky_MALAYSIA49' - Liking by using https://www.facebook.com/groups/5480564762061522/
11/11/2022 11:34:21,Pinky_MALAYSIA23,Group Joiner - Pinky_MALAYSIA23 - Finished operation
11/11/2022 11:34:22,Pinky_MALAYSIA12,Comment&Like - 'Pinky_MALAYSIA12' - Liking by using https://www.facebook.com/groups/3070737906558681
11/11/2022 11:35:11,Pinky_MALAYSIA22,Comment&Like - Pinky_MALAYSIA22 - Finished operation
11/11/2022 11:35:36,Pinky_MALAYSIA49,Comment&Like - Pinky_MALAYSIA49 - Finished operation
11/11/2022 11:35:37,Pinky_MALAYSIA57,Comment&Like - 'Pinky_MALAYSIA57' - Liking by using https://www.facebook.com/groups/431887672302308
11/11/2022 11:36:09,Pinky_MALAYSIA12,Comment&Like - Pinky_MALAYSIA12 - Finished operation
11/11/2022 11:36:11,Pinky_MALAYSIA55,Comment&Like - 'Pinky_MALAYSIA55' - Liking by using https://www.facebook.com/groups/471878828235426
11/11/2022 11:36:25,Pinky_MALAYSIA17,Comment&Like - Error executing for the 'Pinky_MALAYSIA17' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/697827292063612/
11/11/2022 11:36:26,Pinky_MALAYSIA1,Comment&Like - 'Pinky_MALAYSIA1' - Liking by using https://www.facebook.com/groups/471878828235426
11/11/2022 11:37:11,Pinky_MALAYSIA57,Comment&Like - Pinky_MALAYSIA57 - Finished operation
11/11/2022 11:37:12,Pinky_MALAYSIA39,Group Joiner - 'Pinky_MALAYSIA39' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:37:30,Pinky_MALAYSIA55,Comment&Like - Pinky_MALAYSIA55 - Finished operation
11/11/2022 11:37:30,Pinky_MALAYSIA51,Group Joiner - 'Pinky_MALAYSIA51' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:37:55,Pinky_MALAYSIA1,Comment&Like - Pinky_MALAYSIA1 - Finished operation
11/11/2022 11:37:55,Pinky_MALAYSIA6,Comment&Like - Error executing for the 'Pinky_MALAYSIA6' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/3070737906558681
11/11/2022 11:37:57,Pinky_MALAYSIA1,Group Joiner - 'Pinky_MALAYSIA1' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:37:57,Pinky_MALAYSIA55,Group Joiner - 'Pinky_MALAYSIA55' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:38:07,Pinky_MALAYSIA19,Group Joiner - Error executing for the 'Pinky_MALAYSIA19' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/460183919270756
11/11/2022 11:38:09,Pinky_MALAYSIA52,Group Joiner - 'Pinky_MALAYSIA52' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:38:20,Pinky_MALAYSIA39,Group Joiner - Pinky_MALAYSIA39 - Finished operation
11/11/2022 11:38:22,Pinky_MALAYSIA6,Group Joiner - 'Pinky_MALAYSIA6' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 11:38:36,Pinky_MALAYSIA51,Group Joiner - Pinky_MALAYSIA51 - Finished operation
11/11/2022 11:38:37,Pinky_MALAYSIA31,Group Joiner - 'Pinky_MALAYSIA31' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:39:06,Pinky_MALAYSIA55,Group Joiner - Pinky_MALAYSIA55 - Finished operation
11/11/2022 11:39:06,Pinky_MALAYSIA1,Group Joiner - Pinky_MALAYSIA1 - Finished operation
11/11/2022 11:39:07,Pinky_MALAYSIA62,Comment&Like - 'Pinky_MALAYSIA62' - Liking by using https://www.facebook.com/groups/669531141125476
11/11/2022 11:39:07,Pinky_MALAYSIA21,Group Joiner - 'Pinky_MALAYSIA21' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:39:17,Pinky_MALAYSIA52,Group Joiner - Pinky_MALAYSIA52 - Finished operation
11/11/2022 11:39:19,Pinky_MALAYSIA51,Comment&Like - 'Pinky_MALAYSIA51' - Liking by using https://www.facebook.com/groups/1145357409405618
11/11/2022 11:39:43,Pinky_MALAYSIA31,Group Joiner - Pinky_MALAYSIA31 - Finished operation
11/11/2022 11:39:43,Pinky_MALAYSIA14,Comment&Like - 'Pinky_MALAYSIA14' - Liking by using https://www.facebook.com/groups/5106606936106939/
11/11/2022 11:40:14,Pinky_MALAYSIA21,Group Joiner - Pinky_MALAYSIA21 - Finished operation
11/11/2022 11:40:31,Pinky_MALAYSIA62,Comment&Like - Pinky_MALAYSIA62 - Finished operation
11/11/2022 11:40:32,Pinky_MALAYSIA36,Group Joiner - 'Pinky_MALAYSIA36' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:40:39,Pinky_MALAYSIA51,Comment&Like - Pinky_MALAYSIA51 - Finished operation
11/11/2022 11:40:41,Pinky_MALAYSIA26,Group Joiner - 'Pinky_MALAYSIA26' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:41:12,Pinky_MALAYSIA14,Comment&Like - Pinky_MALAYSIA14 - Finished operation
11/11/2022 11:41:14,Pinky_MALAYSIA18,Group Joiner - 'Pinky_MALAYSIA18' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:41:25,Pinky_MALAYSIA26,Group Joiner - Pinky_MALAYSIA26 - Finished operation
11/11/2022 11:41:26,Pinky_MALAYSIA23,Comment&Like - 'Pinky_MALAYSIA23' - Liking by using https://www.facebook.com/groups/5646866088722297/
11/11/2022 11:41:28,Pinky_MALAYSIA16,Comment&Like - Error executing for the 'Pinky_MALAYSIA16' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/431887672302308
11/11/2022 11:41:29,Pinky_MALAYSIA54,Comment&Like - 'Pinky_MALAYSIA54' - Liking by using https://www.facebook.com/groups/833087687822674/
11/11/2022 11:41:39,Pinky_MALAYSIA36,Group Joiner - Pinky_MALAYSIA36 - Finished operation
11/11/2022 11:41:42,Pinky_MALAYSIA5,Group Joiner - 'Pinky_MALAYSIA5' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:41:58,Pinky_MALAYSIA18,Group Joiner - Pinky_MALAYSIA18 - Finished operation
11/11/2022 11:42:00,Pinky_MALAYSIA48,Comment&Like - 'Pinky_MALAYSIA48' - Liking by using https://www.facebook.com/groups/1319216465597534
11/11/2022 11:42:49,Pinky_MALAYSIA23,Comment&Like - Pinky_MALAYSIA23 - Finished operation
11/11/2022 11:42:51,Pinky_MALAYSIA34,Group Joiner - 'Pinky_MALAYSIA34' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:42:53,Pinky_MALAYSIA5,Group Joiner - Pinky_MALAYSIA5 - Finished operation
11/11/2022 11:42:54,Pinky_MALAYSIA54,Comment&Like - Pinky_MALAYSIA54 - Finished operation
11/11/2022 11:42:54,Pinky_MALAYSIA63,Group Joiner - 'Pinky_MALAYSIA63' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:42:54,Pinky_MALAYSIA46,Group Joiner - 'Pinky_MALAYSIA46' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:43:17,Pinky_MALAYSIA6,Group Joiner - Error executing for the 'Pinky_MALAYSIA6' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/460183919270756
11/11/2022 11:43:26,Pinky_MALAYSIA48,Comment&Like - Pinky_MALAYSIA48 - Finished operation
11/11/2022 11:43:28,Pinky_MALAYSIA17,Group Joiner - 'Pinky_MALAYSIA17' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:43:56,Pinky_MALAYSIA34,Group Joiner - Pinky_MALAYSIA34 - Finished operation
11/11/2022 11:43:58,Pinky_MALAYSIA37,Comment&Like - 'Pinky_MALAYSIA37' - Liking by using https://www.facebook.com/groups/708144980707745
11/11/2022 11:43:59,Pinky_MALAYSIA63,Group Joiner - Pinky_MALAYSIA63 - Finished operation
11/11/2022 11:44:01,Pinky_MALAYSIA2,Group Joiner - 'Pinky_MALAYSIA2' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:44:03,Pinky_MALAYSIA46,Group Joiner - Pinky_MALAYSIA46 - Finished operation
11/11/2022 11:44:33,Pinky_MALAYSIA59,Comment&Like - Error executing for the 'Pinky_MALAYSIA59' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/511640393799618/
11/11/2022 11:44:34,Pinky_MALAYSIA17,Group Joiner - Pinky_MALAYSIA17 - Finished operation
11/11/2022 11:44:35,Pinky_MALAYSIA52,Comment&Like - 'Pinky_MALAYSIA52' - Liking by using https://www.facebook.com/groups/708144980707745
11/11/2022 11:45:11,Pinky_MALAYSIA2,Group Joiner - Pinky_MALAYSIA2 - Finished operation
11/11/2022 11:45:14,Pinky_MALAYSIA53,Comment&Like - 'Pinky_MALAYSIA53' - Liking by using https://www.facebook.com/groups/708144980707745
11/11/2022 11:45:17,Pinky_MALAYSIA16,Comment&Like - Error executing for the 'Pinky_MALAYSIA16' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/534733661727844
11/11/2022 11:45:20,Pinky_MALAYSIA7,Comment&Like - 'Pinky_MALAYSIA7' - Liking by using https://www.facebook.com/groups/1319216465597534
11/11/2022 11:45:29,Pinky_MALAYSIA37,Comment&Like - Pinky_MALAYSIA37 - Finished operation
11/11/2022 11:45:32,Pinky_MALAYSIA67,Group Joiner - 'Pinky_MALAYSIA67' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:45:47,Pinky_MALAYSIA59,Comment&Like - Error executing for the 'Pinky_MALAYSIA59' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/1319216465597534
11/11/2022 11:45:47,Pinky_MALAYSIA11,Comment&Like - 'Pinky_MALAYSIA11' - Liking by using https://www.facebook.com/groups/478072124277063/
11/11/2022 11:46:04,Pinky_MALAYSIA52,Comment&Like - Pinky_MALAYSIA52 - Finished operation
11/11/2022 11:46:05,Pinky_MALAYSIA57,Group Joiner - 'Pinky_MALAYSIA57' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:46:35,Pinky_MALAYSIA7,Comment&Like - Pinky_MALAYSIA7 - Finished operation
11/11/2022 11:46:36,Pinky_MALAYSIA47,Group Joiner - 'Pinky_MALAYSIA47' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:46:37,Pinky_MALAYSIA67,Group Joiner - Pinky_MALAYSIA67 - Finished operation
11/11/2022 11:46:39,Pinky_MALAYSIA1,Comment&Like - 'Pinky_MALAYSIA1' - Liking by using https://www.facebook.com/groups/471878828235426
11/11/2022 11:46:40,Pinky_MALAYSIA53,Comment&Like - Pinky_MALAYSIA53 - Finished operation
11/11/2022 11:46:42,Pinky_MALAYSIA64,Comment&Like - 'Pinky_MALAYSIA64' - Liking by using https://www.facebook.com/groups/511640393799618/
11/11/2022 11:47:11,Pinky_MALAYSIA11,Comment&Like - Pinky_MALAYSIA11 - Finished operation
11/11/2022 11:47:12,Pinky_MALAYSIA63,Comment&Like - 'Pinky_MALAYSIA63' - Liking by using https://www.facebook.com/groups/513992560177139/
11/11/2022 11:47:14,Pinky_MALAYSIA57,Group Joiner - Pinky_MALAYSIA57 - Finished operation
11/11/2022 11:47:15,Pinky_MALAYSIA14,Group Joiner - 'Pinky_MALAYSIA14' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:47:40,Pinky_MALAYSIA47,Group Joiner - Pinky_MALAYSIA47 - Finished operation
11/11/2022 11:47:42,Pinky_MALAYSIA26,Comment&Like - 'Pinky_MALAYSIA26' - Liking by using https://www.facebook.com/groups/3344076859208187/
11/11/2022 11:48:05,Pinky_MALAYSIA1,Comment&Like - Pinky_MALAYSIA1 - Finished operation
11/11/2022 11:48:06,Pinky_MALAYSIA64,Comment&Like - Pinky_MALAYSIA64 - Finished operation
11/11/2022 11:48:07,Pinky_MALAYSIA22,Group Joiner - 'Pinky_MALAYSIA22' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/11/2022 11:48:07,Pinky_MALAYSIA8,Group Joiner - 'Pinky_MALAYSIA8' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/11/2022 11:48:22,Pinky_MALAYSIA14,Group Joiner - Pinky_MALAYSIA14 - Finished operation
11/11/2022 11:48:25,Pinky_MALAYSIA50,Comment&Like - 'Pinky_MALAYSIA50' - Liking by using https://www.facebook.com/groups/1319216465597534
11/11/2022 11:48:29,Pinky_MALAYSIA63,Comment&Like - Pinky_MALAYSIA63 - Finished operation
11/11/2022 11:48:31,Pinky_MALAYSIA64,Group Joiner - 'Pinky_MALAYSIA64' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/11/2022 11:49:04,Pinky_MALAYSIA26,Comment&Like - Pinky_MALAYSIA26 - Finished operation
11/11/2022 11:49:04,Pinky_MALAYSIA27,Comment&Like - 'Pinky_MALAYSIA27' - Liking by using https://www.facebook.com/groups/471878828235426
11/11/2022 11:49:12,Pinky_MALAYSIA22,Group Joiner - Pinky_MALAYSIA22 - Finished operation
11/11/2022 11:49:13,Pinky_MALAYSIA8,Group Joiner - Pinky_MALAYSIA8 - Finished operation
